A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
71.13158231,76.40313087,79.95795359,85.88856073,91.59872505,32.0029416,21.81652343,13.21055933,10.78525265,7.643724222,16.46480029,22.80754383,18.99267008,0,0,0,1,1,0,0
82.72094065,72.75643365,79.16018504,81.62380704,80.27030617,45.73344865,4.502320573,11.10127598,18.39121972,12.04968461,25,21.74478499,14.89586574,0,1,0,0,0,0,0
85.12001776,70.23711978,90.16540846,81.38692508,76.22610791,34.30262211,14.48228129,13.84189057,13.70919045,20.9067057,17.48554489,16.97496365,16.45699253,0,1,0,1,0,0,1
95.97290612,71.39774933,85.60199781,78.17772344,73.30751458,22.71833688,20.10195666,15.58249334,25,7.716029618,18.30390117,15.53230573,16.49059997,1,1,1,1,1,0,1
93.88235381,80.11976884,78.29817812,88.4844555,86.74887621,41.24030039,23.65294649,15.21425343,18.75096816,25,17.48899675,10.93885513,16.7271556,0,1,1,0,0,1,1
90.57848447,75.14519744,89.28477196,81.66431358,76.32592208,50,15.07120111,18.43463822,4.969980664,21.50762173,7.58614031,15.2960628,15.26084191,0,1,0,0,0,0,0
99.39017707,64.65965383,85.8827404,82.44503392,79.44335392,23.22685973,17.11514052,15.27855681,17.17484175,25,19.67690009,21.09426881,12.25561654,1,0,0,0,1,1,0
72.05421001,97.34937151,100,86.84163262,82.90226215,45.99321284,16.56839461,24.17078084,18.38299953,25,6.618218439,19.4026322,9.420379114,0,0,0,1,1,1,1
94.35435647,81.88427387,87.9554117,78.54375016,85.01330663,39.2436552,21.96297163,5.311100705,9.022226137,15.32972254,20.64584209,24.90735158,14.62590707,0,0,1,0,1,1,1
93.70248422,69.81182495,85.5881056,84.8461591,83.82692113,37.43340091,8.894164885,5.398156254,23.69328735,5.708629073,14.40641312,16.34495364,17.5955218,0,1,0,1,1,0,1
78.64781158,72.43095715,85.95010356,70.58093356,81.25285267,2.510141931,16.49670818,12.36012605,14.90918783,25,22.57338441,20.75953096,19.80494931,0,0,0,1,0,1,0
77.70887995,66.99610105,73.32907427,74.41366407,68.1475114,33.09920615,16.06463287,18.20963099,18.02884797,25,18.123155,18.60050802,22.13377792,1,0,1,1,1,0,1
79.54704763,62.85935375,79.3837293,78.84828243,81.30970199,19.40293176,6.072724911,23.61167447,18.05028326,17.76935917,13.31147964,13.92915085,15.00151159,0,0,0,0,0,0,0
71.34675303,89.18283194,80.31515272,74.43430988,77.65699937,50,10.06637778,11.05496338,23.02021439,23.59741303,14.17125726,13.68493226,23.34904363,0,1,1,0,1,0,1
92.55979523,74.28085891,88.02710341,88.76625942,83.94949868,49.28874538,19.73303718,14.88239291,17.9052974,17.52769862,19.39573946,19.42917442,22.42468931,1,1,1,0,0,0,1
93.24240801,73.03030922,83.617172,79.31419004,66.51367358,50,30,21.65723727,13.55168824,18.75213777,15.02220487,25,16.23901253,1,1,0,1,1,0,1
81.06451531,73.2718167,89.906961,87.55066337,77.5677745,35.94048508,30,17.3787329,21.41318352,25,16.71629936,15.15471721,15.55306189,0,0,0,0,0,1,0
88.82975647,71.37201324,87.03462033,80.76132667,81.28822643,45.84975874,12.088333,25,5.843724745,12.29465929,25,16.68973032,14.56521428,0,0,1,0,1,1,1
81.34334947,74.09601731,89.73993439,92.93089685,78.0895495,50,14.54020124,11.69531579,20.23071225,20.33777358,19.90027915,25,15.21697355,1,1,1,0,1,1,1
